"date","open","high","low","close","volume","adjusted_close","change_percent","avg_vol_20d"
2011-05-11,1.88,1.88656,1.79466,1.80466,14444460,27.0705,-4.45,15635568.6
2011-05-12,1.80466,1.84934,1.77666,1.84466,9416100,27.6705,2.22,15197790.65
2011-05-13,1.86666,1.87928,1.82,1.83666,9923655,27.5505,-0.43,14956436.95
2011-05-16,1.866,1.866,1.77,1.77334,11334330,26.5995,-3.45,14815565.25
2011-05-17,1.8,1.8,1.71466,1.73066,18512325,25.9605,-2.4,14965779
2011-05-18,1.74,1.76466,1.70134,1.75666,10941105,26.3505,1.5,15101314.5
2011-05-19,1.802,1.896,1.77334,1.88,39830490,28.2,7.02,16464737.95
2011-05-20,1.884,1.88534,1.82334,1.86466,12637995,27.9705,-0.81,16057098.7
2011-05-23,1.84134,1.84134,1.77466,1.788,12953205,26.82,-4.11,16104130.45
2011-05-24,1.80134,1.83334,1.77334,1.78134,9205095,26.7195,-0.37,15535128
2011-05-25,1.79334,1.934,1.74466,1.932,70407150,28.98,8.46,18307810.4
2011-05-26,1.92134,1.984,1.87334,1.96534,50053350,29.4795,1.72,19576730.85
2011-05-27,1.96934,1.978,1.92134,1.97,25306020,29.55,0.24,20297277.55
2011-05-31,1.97934,2.01866,1.97,2.00934,49357815,30.1395,1.99,22176749
2011-06-01,2,2.00666,1.892,1.90114,22955925,28.5165,-5.38,22639072.25
2011-06-02,1.90134,1.95466,1.90066,1.91734,14794395,28.7595,0.85,22593416
2011-06-03,1.99666,2.1,1.96666,2.00866,93153120,30.1305,4.77,26336485.85
2011-06-06,2.00666,2.00866,1.884,1.91334,34976490,28.6995,-4.75,27349106.55
2011-06-07,1.92934,1.95934,1.884,1.89134,18331470,28.3695,-1.15,27578453.55
2011-06-08,1.896,1.90666,1.80134,1.808,25454025,27.12,-4.4,27699436.05
2011-06-09,1.82866,1.87334,1.80666,1.84134,24063285,27.6195,1.84,28180377.3
2011-06-10,1.83466,1.8866,1.82334,1.85734,23497965,27.8595,0.87,28884471.25
2011-06-13,1.87134,1.92534,1.85866,1.89534,25706400,28.4295,2.05,29673609.2
2011-06-14,1.90266,1.98,1.90134,1.90666,23599635,28.6005,0.6,30286875.15
2011-06-15,1.896,1.89666,1.80466,1.82134,20198670,27.3195,-4.48,30371192.4
2011-06-16,1.84466,1.86666,1.716,1.76666,27631845,26.5005,-3,31205730.1
2011-06-17,1.79134,1.84666,1.74266,1.76666,25709460,26.5005,0,30499678.65
2011-06-20,1.75266,1.764,1.7,1.734,23065620,26.01,-1.85,31021059.9
2011-06-21,1.74934,1.84866,1.73334,1.83534,22448430,27.5295,5.84,31495821.15
2011-06-22,1.82466,1.88334,1.80666,1.814,22132980,27.21,-1.16,32142216.1
2011-06-23,1.81334,1.848,1.74734,1.84734,17549835,27.7095,1.84,29499350.45
2011-06-24,1.84266,1.86466,1.81734,1.83766,54132855,27.5655,-0.52,29703325.7
